name,description,hash,fileName,fileState
AsrSetupDrv103 - a0728184caead84f2e88777d833765f2d8af6a20aad77b426e07e76ef91f5c3f,MS Recommended Driver Block Rule - 10.0.25880.0,727E8BA66A8FF07BDC778EACB463B65F2D7167A6616CA2F259EA32571CACF8AF,,ban
atillk64 - 11a9787831ac4f0657aeb5e7019c23acc39d8833faf28f85bd10d7590ea4cc5f,MS Recommended Driver Block Rule - 10.0.25880.0,6EE2E56413CE129EA2319D6DBA28BA4F27CF75B7,,ban
atillk64 - 11a9787831ac4f0657aeb5e7019c23acc39d8833faf28f85bd10d7590ea4cc5f,MS Recommended Driver Block Rule - 10.0.25880.0,94111DE210F6B3B48DDA16B3422F0F9180E30BCB5765B6858C451D1D89196199,,ban
atillk64 - 11a9787831ac4f0657aeb5e7019c23acc39d8833faf28f85bd10d7590ea4cc5f,MS Recommended Driver Block Rule - 10.0.25880.0,E66E7DAA23A6F85459AB4F4CE6D74A4973E832B1,,ban
atillk64 - 11a9787831ac4f0657aeb5e7019c23acc39d8833faf28f85bd10d7590ea4cc5f,MS Recommended Driver Block Rule - 10.0.25880.0,29245340F8DCCC90F6CFA295EEE25C77C658965825DF27A501A5D951E7B8ECC4,,ban
atillk64 - 248dcc72d799d350d30b0f9e9ae93389cdcd11b43e38949ba9be414400657587,MS Recommended Driver Block Rule - 10.0.25880.0,0116793210498AC83727C7B902FDBAE0FE76BB7E,,ban
atillk64 - 248dcc72d799d350d30b0f9e9ae93389cdcd11b43e38949ba9be414400657587,MS Recommended Driver Block Rule - 10.0.25880.0,248DCC72D799D350D30B0F9E9AE93389CDCD11B43E38949BA9BE414400657587,,ban
atillk64 - 321cc3f24a518c70fb537ee9472b1777d05727c649d5b6538082a971c40ddcbe,MS Recommended Driver Block Rule - 10.0.25880.0,005C8117D7BF2E73E6139D3C91F24B70E22A844E,,ban
atillk64 - 321cc3f24a518c70fb537ee9472b1777d05727c649d5b6538082a971c40ddcbe,MS Recommended Driver Block Rule - 10.0.25880.0,73A0CCF3E32C262142BDE91C19F5B1F395878783F157C6BED5874EDE5A3AFDDD,,ban
atillk64 - 321cc3f24a518c70fb537ee9472b1777d05727c649d5b6538082a971c40ddcbe,MS Recommended Driver Block Rule - 10.0.25880.0,CC6B5B9351457B5ED2FC46F4E7CEE62F5979D7C6,,ban
atillk64 - 321cc3f24a518c70fb537ee9472b1777d05727c649d5b6538082a971c40ddcbe,MS Recommended Driver Block Rule - 10.0.25880.0,D96511C6D3E244A892D80C5950256E158A3132B2FB25700F334EA0DA4FDE5B21,,ban
atillk64 - 4780da56667e01cdd7eff83c23c772d68deb4d9fdb69d5302f556bb424151f51,MS Recommended Driver Block Rule - 10.0.25880.0,6AE93DA169BFB914109E584371FD05914795F460,,ban
atillk64 - 4780da56667e01cdd7eff83c23c772d68deb4d9fdb69d5302f556bb424151f51,MS Recommended Driver Block Rule - 10.0.25880.0,4780DA56667E01CDD7EFF83C23C772D68DEB4D9FDB69D5302F556BB424151F51,,ban
atillk64 - 61580186311f6260c6de7fa5bf9242d74687aa1c5c9fdf9d9a48eb46d67d636f,MS Recommended Driver Block Rule - 10.0.25880.0,1FD4D8B13E73604E2BD8E14AC7BB4657CA17A5B3,,ban
atillk64 - 61580186311f6260c6de7fa5bf9242d74687aa1c5c9fdf9d9a48eb46d67d636f,MS Recommended Driver Block Rule - 10.0.25880.0,61580186311F6260C6DE7FA5BF9242D74687AA1C5C9FDF9D9A48EB46D67D636F,,ban
atillk64 - 6c6c5e35accc37c928d721c800476ccf4c4b5b06a1b0906dc5ff4df71ff50943,MS Recommended Driver Block Rule - 10.0.25880.0,0358BCBA83349CB23EA44D5C36B9E22ADAEC8D94,,ban
atillk64 - 6c6c5e35accc37c928d721c800476ccf4c4b5b06a1b0906dc5ff4df71ff50943,MS Recommended Driver Block Rule - 10.0.25880.0,2952AE305F9E206BB0B6D7986F2B6942656C310F9D201CF2E2DD6E961C18804E,,ban
atillk64 - 6c6c5e35accc37c928d721c800476ccf4c4b5b06a1b0906dc5ff4df71ff50943,MS Recommended Driver Block Rule - 10.0.25880.0,3FCFCDCBC6AD3320E561AEB634492D2BDB38FA27,,ban
atillk64 - 6c6c5e35accc37c928d721c800476ccf4c4b5b06a1b0906dc5ff4df71ff50943,MS Recommended Driver Block Rule - 10.0.25880.0,CCBE842ECDB34D64B1CD7AA558CE723DB66F30D431DF4BF4C5F6178952FF309C,,ban
atillk64 - 83ffcfaf429c8368194d7b73f7729d97d6a3b80fb203d57055f3e4eec8228914,MS Recommended Driver Block Rule - 10.0.25880.0,9DCBAA2ECD11D664DC13B8147442B3EB0EE172DB,,ban
atillk64 - 83ffcfaf429c8368194d7b73f7729d97d6a3b80fb203d57055f3e4eec8228914,MS Recommended Driver Block Rule - 10.0.25880.0,83FFCFAF429C8368194D7B73F7729D97D6A3B80FB203D57055F3E4EEC8228914,,ban
atillk64 - be66f3bbfed7d648cfd110853ddb8cef561f94a45405afc6be06e846b697d2b0,MS Recommended Driver Block Rule - 10.0.25880.0,5853E44EA0B6B4E9844651AA57D631193C1ED0F0,,ban
atillk64 - be66f3bbfed7d648cfd110853ddb8cef561f94a45405afc6be06e846b697d2b0,MS Recommended Driver Block Rule - 10.0.25880.0,BE66F3BBFED7D648CFD110853DDB8CEF561F94A45405AFC6BE06E846B697D2B0,,ban
atillk64 - c825a47817399e988912bb75106befaefae0babc0743a7e32b46f17469c78cad,MS Recommended Driver Block Rule - 10.0.25880.0,2E3CF3678D476420696EC7DF46B08D4D24D25644,,ban
atillk64 - c825a47817399e988912bb75106befaefae0babc0743a7e32b46f17469c78cad,MS Recommended Driver Block Rule - 10.0.25880.0,C9B8ECD0657FDA14476920FE47783BD8A951D7A4A640935D9199B4A7AE4B8B69,,ban
atillk64 - c825a47817399e988912bb75106befaefae0babc0743a7e32b46f17469c78cad,MS Recommended Driver Block Rule - 10.0.25880.0,5F70E4EA95468C0D651794665D9488A18991E54F,,ban
atillk64 - c825a47817399e988912bb75106befaefae0babc0743a7e32b46f17469c78cad,MS Recommended Driver Block Rule - 10.0.25880.0,A711C1C437BCB9916D203D7ED196446E976B346D3D635D0E75C9C2713694667E,,ban
atillk64 - d2182b6ef3255c7c1a69223cd3c2d68eb8ba3112ce433cd49cd803dc76412d4b,MS Recommended Driver Block Rule - 10.0.25880.0,FE625D7AD61B93EA376B4924FA088CB22B3FA28D,,ban
atillk64 - d2182b6ef3255c7c1a69223cd3c2d68eb8ba3112ce433cd49cd803dc76412d4b,MS Recommended Driver Block Rule - 10.0.25880.0,FB19F241DDAE74EC4A0F87DFF025EC68DC809F9DD883649C0E58822DE28E6F1B,,ban
atillk64 - d2182b6ef3255c7c1a69223cd3c2d68eb8ba3112ce433cd49cd803dc76412d4b,MS Recommended Driver Block Rule - 10.0.25880.0,6698BB12B9D9D511C018D9EA8F70C61A03A041AD,,ban
atillk64 - d2182b6ef3255c7c1a69223cd3c2d68eb8ba3112ce433cd49cd803dc76412d4b,MS Recommended Driver Block Rule - 10.0.25880.0,47F6DFDDDA4F164448F14C0417839DB860BC4E9C4679BE3980B05BE920462870,,ban
bandainamcoonline.sys - 7ec93f34eb323823eb199fbf8d06219086d517d0e8f4b9e348d7afd41ec9fd5d,MS Recommended Driver Block Rule - 10.0.25880.0,0F780B7ADA5DD8464D9F2CC537D973F5AC804E9C,,ban
bandainamcoonline.sys - 7ec93f34eb323823eb199fbf8d06219086d517d0e8f4b9e348d7afd41ec9fd5d,MS Recommended Driver Block Rule - 10.0.25880.0,7FD788358585E0B863328475898BB4400ED8D478466D1B7F5CC0252671456CC8,,ban
bandainamcoonline.sys - 7ec93f34eb323823eb199fbf8d06219086d517d0e8f4b9e348d7afd41ec9fd5d,MS Recommended Driver Block Rule - 10.0.25880.0,EA360A9F23BB7CF67F08B88E6A185A699F0C5410,,ban
bandainamcoonline.sys - 7ec93f34eb323823eb199fbf8d06219086d517d0e8f4b9e348d7afd41ec9fd5d,MS Recommended Driver Block Rule - 10.0.25880.0,BB83738210650E09307CE869ACA9BFA251024D3C47B1006B94FCE2846313F56E,,ban
BS_RCIO64 73327429c505d8c5fd690a8ec019ed4fd5a726b607cabe71509111c7bfe9fc7e,MS Recommended Driver Block Rule - 10.0.25880.0,4BFE9E5A5A25B7CDE6C81EBE31ED4ABEB5147FAF,,ban
